quiero sacar la tarjeta visa recarga. q costo tiene	313
reintegrar plata punto canjear	312
adquerir tarjeta	337
comprar una vivienda	228
quiero pagar desde mi caja de ahorro en dolares	307
cupo tarjeta credito	303
cuál es la tasa por un acuerdo de sobregiro?	56
el dinero del prestamo hipotecario se deposita en varios desembolsos?	226
me mandaron un voucher vencido	333
ccredito personal	225
y para trabajar en santander?	102
queria hacer una consulta sobre un cheque depositado el viernes pasado y que vino rechazado. se puede saber el motivo?	47
saber monto abonar tarjeta santander visa	342
que papeles necesito para pedir un prendario	247
pagar servicio home banking tarjeta credito edenor	132
como me doy cuenta si estoy sumando puntos superclub?	325
mis conumos del mes?	138
buenos dias	19
debo recibir plata en mi cuenta desde el exterior y aún no la recibí	33
como usar esto	10
soy jubilada y cobro x el banco.quiero saber el listado de farmacias q hacen el descuento de 25%.como sale en la propaganda de tv	311
donde apuntó mis datos personales para saber si puedo acceder al prestamo	248
aparece debitaron erróneo	112
en el paseo alcorta no aplican la promocion del super miercoles mujer	311
a que número puedo llamar para un préstamo personal	223
cómo hago para comprar títulos públicos?	157
recien me llamaron veces! sera por el tema del traspaso de mi cuenta?	146
como se si mi tarjeta llego ala sucursal?	293
como es el financiamiento una vez que hacer el pago mínimo?	308
tengo un problema con el calefón  no funciona. tengo cobertura por eso?	265
me dice que la tarjeta esta bloqueada.	286
simulación de super prestamo santander rio	251
como puedo saver si depocitaron dinero a mi nombre	50
porque no aparece la tarjeta como pagada	279
comision extraccion exterior	96
compra exterior dolares tarjeta visa pagar pesos	307
me robó la empleada doméstica  tengo cobertura?	265
activacion de extension	301
ccredito preacordado	225
querer pagar parcial tarjeta visa	342
como puedo canjear los puntos	322
puedo solicitar un prestamo personal para hacer arreglos en mi casa?	228
como puedo saber cual es el nro de socio advantage?	275
llamar exterior	147
querer darme bajo	41
adherir a american airlines con visa	299
reintegro debito pago de servicio	312
como es un ejemplo para un préstamo hipotecario ajustable?	229
queria consultar si puedo pedir un prestamo personal	248
queria consultar si tengo algún préstamo disponible pra mi.	223
quiero cambiar mi tarjeta a contactless	291
alguien me pude decir para que es el programa advantage	277
cual sería el valor de mi cuota de prestamo para un terreno	219
reclame por no entrega dinero cajero banelco	297
que gastos cobra santander rio en los prestamos hipotecarios?	231
necesito en cuotas	251
que vehiculos se pueden comprar con el credito	228
quiero un préstamo para comprar un terreno	228
siendo extranjero puedo obtener un ccredito hipotecario	248
como son los creditos personales si pido por ejemplo en meses cuota fija por se cliente son muchos loa intereses ?	251
el prestamo solo es para casas construidas?	211
mexico telefono llamar	147
necesitar modificar gasto dolar debitar dolar peso modificacion	289
yo quisiera saber si puedo optener la tarjeta de credito del banco .ya tengo la de debito	337
si hay tasas especiales para plazos fijos de más de un millon. o son las regulares.	184
necesito crear	39
quien sos	14
tengo tarjeta de santander rio  como hago para sumar millas en aadnatage_	274
reactivación de tarjeta	314
quiero compromiso pago	191
quisiera saber si puedo pedir un préstamo de	248
entre a trabajar hace dos meses puedo solicitar el préstamo hipotecario?	248
quiero saber de los prestamos uvas y procrear  me mostras la diferencia entre cada uno?	202
tengo un cheque en dolares  como lo puedo cobrar?	30
no llegue la transferencia a mi cuenta del exterior	35
me.olvide la contraseña de mi cuenta	1
me contactan de un estudio juridico por una deuda con el santander	190
aumentar extracciones	287
que documentación tengo que presentar para mandar un pago hacia el exterior?	36
usan sistema francés?	252
hay tasa fija para compra de segunda vivienda?	258
la tarjeta esta paga igual verdad?	279
soy cliente pregunto para un préstamo prendario cuanto es el interés hoy	258
ir pagando en cuotas la deuda con la tarjeta	308
¿cuándo se pagan los intereses de las letes?	158
yo pedí la tarjeta santander llega al domicilio o tengo q ir a buscarla?	293
no puedo retirar las tarjetas  me las pueden mandar a otra sucursal	318
necesito solicitar o tramitar 2 posnet	71
quiero el descuento de colectivo de % quiero saber cuales son las empresas que lo toman	311
quiero hacer stop debit	353
para solicitar el préstamo lo puedo hacer por este medio	223
cuales son los requisitos para hacer un pago al exterior?	36
saber que tipo de amortización tienen los creditos personales	252
tengo la luz adherida al débito automatico?	93
me robaron y queria saber como proceder porque estoy asegurada	265
cómo agrego un servicio a la agenda de pagos	132
direccion de sucursal	91
quiero obtener visa santander	337
algun nro de tel para comunicarme	147
necesito usar mi tarjeta de debito y en el posnet solicita pedir autorizacion	283
que son las tarjetas sin contacto ?	291
tarjeta extranjero	289
qué pasa que me cobran caja de seguridad si ni siquiera la uso?	92
olvide mi contraseña	1
tenia una consulta con respecto al pago de un prestamo  se puede pagar en efectivo a traves de una terminal de autoservicio?	239
deseo abrir una caja de ahorro en pesosss	39
puedo aumentar la linea crediticia disponible?	196
que tasa de interés debo pagar por el ccredito hipotecario?	258
que tiempo demora la reimpresion de mi tarjeta de debito	316
voy a usar las tarjetas en el exterior	304
me podras brindar la informacion por adherir servicios a debito automatico?	132
querer cambiar contraseña acceso	1
olvide clave banelco?	288
cómo hago una transferencia de mi caja de ahorros a mi cuenta corriente?	85
quisiera enviar mi cv	102
no me pagaron la pension	37
caja de ahorro para monotributista	39
yo use el comodin de conbustible quiero saber cuando me reintegran el dinero	322
consultar saldo tarjeta american express	303
donde veo las operaciones a confirmar	343
dar de baja una cuenta universitaria	41
podemos hacer un simulacro?	251
hacer recargar subir cargar dinero	129
reimpresión de tarjeta de ccredito santander	316
costo transferencia banco santander	83
necesito pagar agip	132
pero quiero obtener una clave para mi tarjeta de ccredito american express	288
no puedo pagar o extraer dinero con mi tarjeta santander	286
cómo hago para saber el número de cuenta de mi tarjeta santander  ccredito?	344
que valor de devolución tiene y que cuota del seguro para un samsung s plus?	261
quiero cerrar mi cuenta	41
dan préstamos a monotributustas	248
queria pagarle el sueldo a un empleado pero necesito ayuda	69
soy cliente y necesito un prestamo	223
simulador.de prestamo	251
quisiera saber sobre creditos personales	225
quiero saber cuales son los pagos que hice con tarjeta de credito	279
que es el coeficiente de estabilización de referencia	107
saber donde llegar tarjeta nueva	293
quisiera dar de baja una poliza como puedo hacerlo y donde?	262
cuanto demoran en rematar la casa si no puedo pagar el prestamo hipotecario?	240
me pide autorización de una compra por internet	283
se puede pagar una infraccion de transito por este medio?	132
como pagar el limite de acuerdo	56
el cajero automatico no me dio el dinero de una extración	297
tengo dudas sobre comisiones que cobra el banco	96
necesio pagar por pagos mis cuenta una tarjeta cencosud	132
hay alguna manera de cambiar el ciclo de mi tarjeta para que no venza los primeros días del mes?	348
canje por entrada de espectáculos superclub	322
me decís como puedo hacer para ver mi resumen de cuenta	138
donde me pueden mostrar el listado de concesionarios?	223
cuales son los gastos asociados al préstamo hipotecario?	231
cual es el requisito de ingresos para platinum	40
banco quiero averiguar santander	39
no me debitaron metrogas con debito automatico	129
cuanto dinero tengo disponible en el open ?	198
para la escritura de compra puedo poner mi propio escribano?	207
quiero hacer una suscripción de acciones de macro	151
el límite en dolares de la visa y de la american expres que tengo	303
que tengo que hacer para pedir el preacordado	223
a los que trabajan en la municipalidad dan prestamos	248
¿tarda mucho en hacerse efectivo un deposito?	109
debitar metrogas debitar automatico	129
quiero averiguar por un prestamo. pero no soy clienta	248
quiero confirmar la adhesión al débito automatico de ede	93
que beneficios tengo con infinity	311
cuales son las excepciones del servicio de asistencia al viajero?	282
soy cliente y necesito un prestamo para un auto	223
queria saber cuándo voy a poder cobrar una licencia	37
cuales son los principales riesgos de sacar un prestamo hipotecario con el banco?	237
entro a home banking y no me permite operar	117
acceder a mi cuenta bancaria	3
acabo de hacer un canje en despegar y no me llega el voucher	333
necesito que dejen de enviarme el resumen de las inversiones	179
quiero saber que importe de cuota abonaría por un credito	251
tengo un credito prendario automotor y quiero cambiarme de aseguradora por una mas economica	262
quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer ? que tengo que llevar al banco?	265
nunca recibí la tarjeta de debito	293
margen tarjeta	303
querer monto pagar tarjeta visa	342
no puedo comprar acciones  aparece un cartel previo indicando que antes tengo que aceptar las condiciones de la cuenta o algo parecido.	151
voy a la univ. puedo pedir una tarj?	359
de que te puedo preguntar?	16
quiero que me envíen la póliza por mail	266
pedí una renovación de tarjeta hace un mes y todavía no me llegue nada.	293
como hago para recargar saldo en mi cel prepago con mi tarjeta de debito?	132
canjee dos voucher para fly bondi pero nose como usarlos	333
necesitar pagar mastercard	342
no entender movimiento tenia	115
soy select y necesito telefono para consulta	147
querer pagar patentar auto	132
quisiera saber hasta cuanto podria sacar en credito para vivienda	251
me rebotaron la amex recien en una compra	286
numero de tel atencion al cliente	147
consultar gastar tarjeta credito	115
saque plata del cajero  me desconto pero me dio menos	297
yo realice un canje por los puntos. y no me llego el producto todavia quisiera saber el estado cuando me llegaria?	326
donde me fijo el límite de ccredito que tengo?	223
necesito pedir el descubierto	57
es posible ver el lí¬≠mite de compra?	303
gasto mantencion	96
tarjeta enviada por correo cómo hago el seguimiento	293
entender resumen inversión	188
quiero información sobre las comisiones para comprar lebacs	96
quiero pagar tarjeta santander	342
queria seguimiento tarjeta nunca llegar	293
querer pagar impuesto online banking	132
donde puedo descargar certificado de la cuenta bancaria	42
numero telefono terminar	147
como me inscribo para los beneficios con la tarjeta	311
si no sos cliente podes acceder a un prestamo via online	248
como hago para poner metrogas en la tarjeta?	132
puedo comprar un ph con el préstamo hipotecario?	211
ya pasaron hs y no me habilitan saldo	279
fci nueva medida	172
hacer reclamo solucion	135
pagar programar abonar afip debitar correctamente motivo	129
como puedo sacar el resumen	138
pagar tarjeta	342
necesito depositar un cheque en dolares	30
querer pagar tarjeta naranja este sistema	132
cuantas chequeras puedo pedir	44
como acumulo millas?	274
por un cobro de la tarjeta que nunca me dijeron que tenia mantenimiento y la voy a dar de baja	338
cual es el santander rio mas cercano?	91
que pasa se dejo de pagar la tarjeta de credito	351
son fijas las cuotas?	219
cómo es el proceso para solicitar un préstamo?	241
si nesecito ver mi resumen	138
cuanto es el ingreso minimo para se cliente platinum?	40
necesito pagar un tramite site de la dnrpa	132
buenas noches	19
robo en domicilio	265
limite comprar tarjeta platinun	303
el monto del prestamo personal que debi abonar es el mismo o ya tiene un recargo?	240
querer marido cotitular	38
solicite un credito hace mas de diez dias	215
necesitaría un préstamo de yo soy cliente santander	223
quisiera saber el vencimiento de mi tarjeta santander rio vissa	341
decime el valor de cuota parte del renta fija al	174
como comprar lebac	157
como hago para cambiar clave y usuario	1
puedo sacar otro prestamo	218
la tarjeta de débito visa suma puntos?	323
quiero regularizar mi credito prendario	192
cuentan con lineas de préstamos hipotecarios para refaccion de viviendas?	228
no quiero que me notifiquen de las inversiones con ese resumen	179
qué puedo hacer con los dolares en mi cuenta?	178
se puede incrementar el monto a extraer del cajero?	287
¿puedo agregar después dinero a este fondo?	176
retirar descubierto	56
en que estado esta el envio de mi tarjeta	293
quisiera saber si tengo una tarjeta a mi nombre.	61
obtener resumen	138
retiro de efectivo por caja	128
cómo puedo acceder al préstamo para comprar un auto	223
me entraron y me robaron el televisor  que hago?	265
benficios visa women	357
desear ver estado distribución plástico	293
necesito dinero para refaccion de mi casa actual	228
quiero simular cuanto es la cuota de mi credito hipotecario	251
nesecito movimiento	50
que instrucciones debo seguir para recibir fondos desde el exterior	32
que beneficios tengo si acredito mi sueldo en santander rio	72
querer gestionar clave operar internet	1
pagar tarjeta credito debitar monto nuevamente	350
alerta saldar	125
no me devueven ningun codigo sms	1
quiero simular un credito para comprar auto	251
ese traspaso se hizo de manera automatic?	85
quisiera saber porque me estan cobrando imp. ley deb	122
como veo mis servicios adheridos a debito automatico en tarjeta	93
cómo hago para canjear cupones de banco macro por acciones.	151
refinanciacion de deuda de tarjetas	308
necesito rescatar. cuando podré hacerlo?	175
querer saldar total deber tarjeta	342
telefono para refinaciar la tarjeta	308
me quiero hacer cliente	39
tengo que alquilar pero necesto un garante ustedes tienen un seguro de caucion?	261
quiero dar de baja a la tarjeta de ccredito	338
telefono visa	147
ver resumen de tarjeta	138
para solictar los ultimos movimientos de los meses	50
yo cobro la jubilación puedo comprar en las farmacias con el descuento	311
como puedo modificar el día que me vence el resumen?	348
querer reclamar tarjeta llegar	293
¿cómo doy de baja a un cotitular de mi cuenta?	38
en el calculo de ingresos de un préstamo hipotecario tengo que sumar o no lo de impuesto a las ganancias?	249
cual es el costo por una certificacion de firma?	94
dar de baja correo	103
cargar datos de una denuncia de seguro	265
si yo cobro mi sueldo por otro banco que tramites tengo que hacer para pedir un prestamo hipotecario	238
habian debitar automatico tarjeta visa amex	38
necesito cambiar el numero de telefono asociado a mi cuenta	103
seguir envio	293
la solicitud de un préstamo hipotecario tiene algun costo?	223
pago de haberes	69
una consulta cual es el costo de extraer efectivo en el extranjero ?	96
no puedo generar mi clave personal	1
baja programa woman	357
como reponer la tarjeta	316
quiera saber si tengo que habilitar mi tarjeta de debito santander universidades para el uso en el exterior ya que en esta semana viajo a peru.	304
quiero hacer una tranferencia desde mi celular a un cbu  de otra persona con cuenta en el banco galicia y no me deja hacerlo	80
para el préstamo toman en cuenta el valor que da el tasador o el de la inmobiliaria?	217
préstamo para una unidad usada de no mas de aaños	228
cuál es el costo del seguro de una casa?	261
cómo y cuándo se acredita el dinero del préstamo hipotecario?	226
como puedo pedir que me envien un paquete de productos a otra sucursal	318
costo del servicio por operar en red banelco	96
domicilio asegurar anteriormente quiero cambiar	267
necesitaria hacer una transferencia de mi cuenta en usd a mi cuenta en pesos	166
puedo elegir que dia del mes pagar la cuota del préstamo hipotecario?	259
se puede tener otro ccredito aparte de este?	218
necesito pagar un tramite site de la dnrpa	132
no tengo puntos superclub en mi cuenta aún estado utilizando la tarjeta de credito	325
necesitar adherir aysa tarjeta	132
paquete disponible	39
quiero saber si tengo que retirar la tarjeta en alguna sucursal	293
que tendría que hacer para acumular millas con las tarjetas de advantage?	274
no me llego una transferencia que me hicieron del exterior y la necesito cuanto antes	33
donde encuentro la opcion para comprar letes?	157
para solicitar un préstamo personal es requisito tener antigí¬≠¬≠¬≠¬≠¬ºedad como cliente del banco?	220
necesito un numero de telefono	147
como calculo los ingresos como monotribustista para obtener un préstamo hipotecario?	249
quisiera saber y modificar el porcentaje del limite de la tarjeta de credito que tengo el adicional	335
que compras me permiten acumular millas?	274
no sé cuanto tengo que pagar de la tarjeta.	342
quiero un seguro en caso que me roben el celular	261
como puedo desbloquear la clave cajero	288
ustedes me aplican una comisión por la transferencia?	83
suscribir tipo aviso	125
ayer pague edesur por error  cuando ya lo habia pagado por otros medios como hago para anular el pago	129
contacto telefonico de santander rio	147
que idioma sabes hablar	20
¿podrías darme información sobre los préstamos del banco?	225
cuando me avilitan latarjeta ya pague el plan de pago	314
pago atrasado tarjeta	349
estoy empezando que hago	10
necesito aumentar mi paquete y pasarme a otro tipo de cuenta	86
pago por homebanking	132
que billetes acepta el cajero automatico?	110
necesito llamen deuda	194
cual es la tassa de hipotecarios uvas	258
yo tenía debito automatico para monotributo  modifique mi situación y esa modificación no se tradujo en el debito	129
me atrase cuotas en el credito prendario necesito regularizar la deuda	192
acabo de ir a buscar una tarjeta de debito y no sé mi clave como la puedo recuperar	288
necesito saber la escribania que tengo asignada para la cancelación d ela hipoteca	207
algun telefono llamar	147
me tienen que dar una autorización para vender el auto del préstamo?	260
me simulas el credito de	251
tener pasar retirar plasticos	293
hay algun costo por operar con acciones y bonos?	96
tengo 2 tarjetas con el mismo nombre	309
soy monotributista hasta cuanta plata me darian en un préstamo personal?	251
donde estan los plasticos de las tarjetas visa y american	293
como puedo saber mi situacion	99
queria saber como hago para autorizar la tarjeta para usarla en estado unidos	304
la página para pedir tarjetas nuevas no me deja avanzar.	4
preciso el te de comercio exterior para ayudarme con una transferencia al exterior	36
no me funciona la tarjeta	286
quiero saber si los plásticos llegaron a la sucursal	293
como hago para saber si tengo saldo utilizable en mi tarjeta	303
querer hacer reclamar cajero	297
quiero financiar una compra que hice con la tarjeta	308
deterioro de tarjeta	316
cuenta la página con un simulador para préstamos personales?	251
por que me están faltando acciones	153
como obtengo la tarjeta santander rio visa	337
cambiar importe debito automatico tarjeta	345
alta de cuenta	39
qué operaciones puedo hacer por ventanilla de una sucursal?	128
uvas	108
préstamo preacordado	225
consultar disponible tarjeta	303
antes de ayer bloquee mi tarjeta de debito ya que la extravié quisiera saber que tengo que hacer para la reposición	316
pagar página	129
quiero recargar saldo a un celular	132
le puse gnc al auto  lo tengo que agregar en el seguro?	268
caida de cuotas  donde se hace?	339
yo ya tenía un número de socio advantage  ahora tengo dos?	278
me vino pesos en la tarjeta de credito con santander rio advantage	276
que trámite tengo que hacer para dar de baja a las tarjetas??	338
necesito pagar mi tarjeta y no tengo la factura como hago??	342
si se puede pedir un adelanto con la tarjeta de débito	57
¿cómo pago mi tarjeta santander crédito?	342
queria informarme si el producto canjeadome lo enviaban	322
que es un bono	159
necesito una nueva tarjeta de coordenadas.	5
comunico cancele deuda tarjeta	195
quiero estender limitar estraccion	287
sobre la tarjeta visa black! costos	340
que debitos automaticos tengo	93
necesito realizar una transferencia a una cuenta	83
solicitar tarjeta todavia no llegar	293
quiero saber el resumen de tarjeta de credito	138
se puede sacar el prestamo por internet	223
comodin conbustible querer reintegrar dinero	312
quiero obtener mi credito personal	223
me bloquearon la cuenta título y preciso desbloquearla cuanto antes	170
puse en debito mis servicios.y los mismos no fueron debitados	129
y aún no le llega al destinatario puede ser?	77
hace una semana pacte que pasen a buscar mis papeles para la tarjeta	317
generar cambiar usuario tomar	1
ya tengo escribania propia	207
no recibi la tarjeta de credito	293
donde retiro la chequera que solicité?	45
clave cajero automatico	288
les consulto horario de los cajeros autoservicio	91
soy cliente del banco y quiero saber si puedo comprar dolares por ventanilla	166
necesito hacerme gratuito universal	39
documentacion necesito apertura corriente personar fisica	39
olvide mi clave. como puedo blanquearla?	1
adheciom de transferencia a terceros	79
cerrar cuenta sueldo	41
reclamo de extensión de tajreta que no llego	293
quiero dar de baja una transferencia que programé	81
reeimprimir tarjeta	316
cómo obtengo el ccredito?	223
no me descontaron el pago de la tarjeta que tenía en debito automatico.	346
debo comunicarme reclamar	135
por que me bloquearon la cuenta comitente?	170
me llamaron dos veces diciendo que no se acredito mi ultimo pago	146
bajo cuenta online	41
la tasacion demora mucho?	216
quiero consultar sobre los fondos de inversion.	173
quiero dejar recibir mensaje banco	125
queria saber cuanto sale la renovación de la tarjeta	340
consultar limite extración exterior	303
quiero ser cliente de santander	39
me gustaría recibir el resumen de las tarjetas de ccredito.soy el adicional	138
se puede blanquear la clave de afip	95
se me debitaron las tarjetas este mes?	279
descuento a jubilados en farmacias	311
me podés dar las fechas de las próximas lebacs	156
activar las tarjetaws para usarlas en chile	304
en el procrear puedo sumar ingresos con el grupo familiar	254
retirar tarjeta debito	293
hace rato que canjee un producto y no tengo noticias	326
debitar boleta	129
quiero información para solicitar un préstamo hipotecario	225
me mandaron un mensaje que tengo una deuda con santander	193
quiero sacar un préstamo pero cobro en negro	233
tarjeta santander visa	147
realice una transferencia internacional pero me figura guardada	35
queria saber si hay q sacar una tarjeta especial para realizar la operación de extración en otro país	298
yo no soy cliente como puedo hacer la tarjeta	337
limite comprar tarjeta platinun	303
los gastos de escribania debo contar con el dinero extra o puede estar incluido al monto que me prestan?	210
cambiar clave	1
quiero instrucciones de como hacerme la cuenta	39
cuando me llega la clave banelco	288
necesito un hipotecario	223
por que me mandan una tarjeta si yo no la pedí?	310
bloquear home banquing	1
que pasa si a futuro la cuota del préstamo hipotecario supera el % de mis ingresos?	249
puedo hacer un plan de pago con el saldo que tengo atrasado	120
quisera cambiar la tarjeta de debito	316
algun numero llamar	147
diferenciar paquete infinity gold	39
numero llamar comunicarme interior informacion	147
quiero adherir tarjeta debito automatico	345
quiero consultarles  el reintegro de como se considera el tope?	311
pagar gasto dólar	307
por que siempre me pide token para hacer operaciones	5
consultar saldar tarjeta debito	50
debitar aysa fondo visualizar pagar debitar fondo	129
no soy cliente como puedo averiguar por un prestamos	248
cambio de limites	302
me acreditan el sueldo en otro banco hay problema con eso para pedir un prestamo hipotecario?	238
hoy no pude sacar mi dinero de los cajeros automaticos por me exigen una clave alfabética sin previo aviso	288
me voy a quejar	133
que tengo que llevar para extraer plata por ventanilla?	128
me dejaron una visa en casa  que tengo que hacer para activarla	301
tuve problemas con el canje  que me llegue con fallas	329
estoy queriendo realizar dos pagos de impuestos y no me lo permite. hay algun problema con el sistema?	117
quiero información de becas académicas	358
como es tu funcionamiento	13
queria consultar como funciona el prestamo	225
saldo de la cta unica en pesos	50
quiero consultar sobre mi seguro	271
que diferencia hay entre el prestamo uvas del santander y procrear?	202
necesito cambiar importe debito amex	345
cuál es el porcentaje de financiación para la compra de vivienda con el préstamo procrear?	245
costo transferencia dólar banco	83
super prestamo santander rio	225
necesito el pin de la tarjeta de ccredito	288
por que no me acreditan la devolución del iva?	58
que sabes hacer	16
me mandaron un mail para decirme que ingrese mis datos de caja de valores	164
me dice que no hay productos disponibles para los puntos ingresados en la búsqueda y tengo puntos suficientes	328
cuales son los requisitos para pedir una tarjeta	337
tengo depositado un cheque ayer y quisiera saber a que hora se acredita	109
que beneficios tengo con tarjeta visa credito	311
me dan la tarjeta si ya soy cliente del banco?	337
me gustaria saber si estoy aderido a sorpresas	320
necesito para renovar mi casa	228
quiero tramitar una solicitud de tarjeta de credito adicional	334
quisiera saber que requisitos necesito para el ccredito?	248
vos tenés el número de telefono de mi sucursal?	91
no vinieron a mi domicilio para retirar el dni omo me dijeron	317
necesito incorporar la cláusula de subrogación urgente para poder trabajar con el camión	268
necesito realizar un pago por pago mis cuentas	131
se puede hacer depositos en dolares?	110
se me inundo el baño  ¿con el seguro de vivienda a donde tengo que llamar?	265
queria hacer una compra de un cedear	151
me podés explicar por que me están facturando un descubierto?	56
quisiera solicitar la tarjeta de santander rio	337
tarjeta desmagnetizada	316
queria consultar que debo hacer para transferir mi paquete a otra sucursal. vivo en ramos mejia	65
quisiera inscribirme para una vacante laboral en la rioja	102
numerar guia reponer tarjeta debitar	293
los domingos puedo llamar a un 0800?	147
que cubre el seguro de vivienda?	265
yo tengo un credito en este banco con cuotas pagas de y necesito sacar otro	218
no puedo acceder a la app.	117
soy adicional y necesito el resumen de la tarjeta	138
habilitar tarjeta de debito para el exterior	304
estaría necesitando un prestamo personal por $ para refaccionar mi casa.	228
quiero solicitar una tarjeta santander crédito	337
cual es el tipo de cambio para pagar la tarjeta?	307
transferí dinero pero no se debitó de mi cuenta	80
denuncie un robo y me pidieron que mande documentación  ahora que tengo que hacer para cobrar?	270
uso tarjeta extranjero	289
cobro comision cuenta no tengo	97
blanqueo	288
saber estado de financiacion	99
necesito la prenda	235
quiero limitar el consumo de una extension de mi tarjeta de credito visa	335
figura positivo corriente	56
puedo sacar el credito hipotecario uvas incluyendo a otra persona?	254
me explicás como se calcula el pago mínimo	351
se me inabilito la clave de debito	288
descubierto cobro	56
mi cuenta esta bloqueada. donde cambio la contraseña o la actualizo?	1
firma abogados manejan deudas	190
como veo mi cuenta	3
necesito reposición de tarjeta de debito. como debo hacerlo por la pagina	316
agregar número telefono hacer recargar cuenta	132
otro paí¬≠s no funcionar tarjeta debitar comprar	289
reclamar tarjeta credito no enviar	293
quiero hacer pago por internet	132
tengo mi tarjeta american express y no se si tengo que habilitarla	301
volver ingresar bloquear acceso	0
no puedo ingresar a mi casa  donde llamo? que hago?	265
el sistema no me permite rescatar mi dinero del fondo de inversión	175
que sucede si mis ingresos no se actualizan de la misma manera que el uva en el préstamo hipotecario?	230
donde hacer la solicitud de chequeras?	44
queria saber como era el metodo para precancelar el préstamo	246
quiero sacar un prestamo como ago?	223
necesito contar con clave pin	288
cómo comprar dolares	166
querer comunicarme deja clave acceso bloquear	1
cuál es la tasa del préstamo prendario?	258
no recibo el resumen de mi tarjeta visa en tiempo y forma	138
me acabo de dar cuento que mi tarjeta de debito esta vencida	316
problema debitar automatico servcio	129
se puede depositar en dolares?	110
sorpresa santander rio  me estaban cobrando algo que no sabia que tenia y nunca use	320
no quiero que me envien mas mails. no soy clienta del banco hace aaños	136
necesito saber si tengo la visa disponible para comprar	303
cómo puedo comprar en metrogas?	151
quiero saber si todavía tengo la cuenta abierta	61
nesecito pedir una nueva targeta d debir	316
uso en el exterior de la tarjeta	289
quisiera saber si mi cuenta sigue activa	61
telefono contactar tarjeta	147
bajo servicio agenda pago aparece	129
cómo hago para abrir una cuenta para inversiones?	169
quiero saber la fecha de renovacion de mi plazo fijo?	180
es bscharba o bscharbaxxx?	34
quiero hacer una simulacion de creditos personales	251
los prestamos hipotecarios son solamente para trabajadores en relacion de dependencia o para monotributistas tambien?	248
tengo acciones de carboclor y quiero suscribir	151
disponible monto comprar tarjeta credito	303
averiguar jubilacion acreditar banco santander	50
quiero saber si puedo renovar mi ccredito de santander	223
para el cálculo de los ingresos en un préstamo hipotecario tengo que tomar en cuenta lo que me descuentan de impuesto a las ganancias?	249
como se calcula la cuota del préstamo por el costo de inflacion?	219
cual seria el juste promedio de la uva?	219
